Block Index,Storage Assignment (Mb) C = 1,Storage Assignment (Mb) C = 2,Storage Assignment (Mb) C = 3,Storage Assignment (Mb) C = 4,Storage Assignment (Mb) C = 5,Blockchain size (Mb)
851,12.07047607142857,16.599693142857145,23.39351875,28.677605333333332,39.2457785,63.409039
852,12.076345071428571,16.608940142857143,23.40783275,28.695860333333332,39.2719155,63.456331
853,12.082482214285715,16.61851842857143,23.42257275,28.714615,39.2986995,63.504507
854,12.090296,16.629678,23.438751,28.734696666666668,39.326588,63.551348
855,12.096191285714285,16.638479571428572,23.451912,28.751248333333333,39.349921,63.592036
856,12.104312,16.651334,23.471867,28.776726,39.386444,63.658308
857,12.114466142857141,16.665459285714284,23.491949,28.801441,39.420425,63.713904
858,12.121022214285714,16.67554342857143,23.50732525,28.820933333333333,39.4481495,63.763297
859,12.141996285714285,16.70351457142857,23.545792,28.867563333333333,39.511106,63.861256
860,12.151760571428571,16.717198142857143,23.5653545,28.89169833333333,39.544386,63.916126
861,12.159756142857141,16.730417285714285,23.586409,28.918847,39.583723,63.989256
862,12.166938214285715,16.74094842857143,23.60196375,28.938309,39.6109995,64.036143
863,12.173539857142858,16.750789714285716,23.6166645,28.956789333333333,39.637039,64.081498
864,12.180611928571428,16.760984857142855,23.63154425,28.975312666666667,39.6628495,64.125221
865,12.185767285714286,16.768860571428572,23.6435005,28.990442666666667,39.684327,64.163306
866,12.192461,16.778622,23.6578635,29.008384666666668,39.709427,64.206254
867,12.19907557142857,16.788462142857142,23.672542,29.026826333333332,39.735395,64.251412
868,12.205413214285715,16.79766142857143,23.68603375,29.043656666666667,39.7589025,64.291475
869,12.230913214285714,16.83185742857143,23.73327375,29.101042,39.8365785,64.413219
870,12.237938214285714,16.84184042857143,23.74769375,29.118913,39.8613515,64.454631
871,12.24625292857143,16.85521185714286,23.76865025,29.145769,39.9000065,64.525425
872,12.252905357142858,16.864899714285716,23.78289125,29.16355133333333,39.9248715,64.567921
873,12.259547571428572,16.874415142857142,23.7967165,29.180728666666667,39.948753,64.608146
874,12.265590785714286,16.883962571428572,23.81152025,29.199620666666668,39.9758215,64.657205
875,12.27250007142857,16.894181142857143,23.82670275,29.218664,40.0025865,64.703535
876,12.281020714285715,16.90624042857143,23.84407,29.240159666666667,40.032339,64.753076
877,12.288212571428572,16.91697214285714,23.8601115,29.260331,40.06077,64.802634
878,12.2951645,16.927496,23.87599325,29.28038,40.0891535,64.852641
879,12.304275,16.940031,23.893665,29.302047,40.118811,64.900584
880,12.31362442857143,16.95404585714286,23.914678,29.328503,40.156153,64.9659
881,12.321186714285714,16.965061428571428,23.9308735,29.348727333333333,40.184435,65.014246
882,12.329133142857142,16.975925285714283,23.9461135,29.367371,40.209886,65.05509
883,12.335620857142858,16.986467714285716,23.962738,29.388726,40.240702,65.111856
884,12.34362257142857,16.998784142857144,23.9815265,29.412548333333334,40.274592,65.172262
885,12.356566285714285,17.01976757142857,24.0145695,29.454971,40.335774,65.284818
886,12.36323107142857,17.029573142857142,24.02908625,29.473152,40.3612835,65.328789
887,12.369113928571428,17.038186857142858,24.04179625,29.489048,40.3835515,65.367021
888,12.3750545,17.047229,24.05549075,29.506361,40.4081015,65.410443
889,12.382125,17.059055,24.07445,29.53086833333333,40.443705,65.47702
890,12.389507,17.069772,24.0901695,29.550478666666667,40.471097,65.52371
891,12.395741214285714,17.07911042857143,24.10416425,29.568095,40.4959565,65.567169
892,12.401712142857141,17.088306285714285,24.1181975,29.585890666666668,40.521277,65.612318
893,12.407083071428572,17.097219142857142,24.13242325,29.604248666666667,40.5478995,65.661905
894,12.414677571428571,17.108026142857142,24.148049,29.623622333333334,40.574769,65.70688
895,12.4210045,17.117251,24.16162075,29.640575,40.5984835,65.747451
896,12.429942214285715,17.131977428571428,24.18503025,29.670738,40.6421535,65.828493
897,12.436877857142859,17.142132714285715,24.200015,29.689479,40.668407,65.873568
898,12.444097428571428,17.152744857142856,24.215716,29.709138,40.695982,65.921064
899,12.452434714285715,17.165791428571428,24.2358265,29.73474266666667,40.732575,65.986994
900,12.461352357142859,17.180481714285715,24.25917575,29.764826666666668,40.7761285,66.067811
901,12.469457642857142,17.192698285714282,24.27755925,29.788006666666668,40.8089015,66.125369
902,12.476753285714285,17.20392157142857,24.294674,29.809703666666667,40.839763,66.180356
903,12.481978142857141,17.211737285714282,24.306376,29.824428333333334,40.860533,66.216628
904,12.48803592857143,17.220750857142857,24.31982325,29.841324,40.8843255,66.258009
905,12.495070857142858,17.230610714285717,24.3339205,29.858717,40.90831,66.297558
906,12.500729357142859,17.238831714285716,24.34598525,29.87377133333333,40.9293435,66.333433
907,12.505336428571429,17.246152857142857,24.3573775,29.88833,40.950235,66.37143
908,12.514216571428571,17.25976114285714,24.378078,29.914546666666666,40.987484,66.437624
